id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1163143534058311680,1163066235619348480,1566150003000,2019-08-18,19:40:03,CEST,2774416530,martinswidersky,Martyn Swydersky,,"Prywatne obsesje Prezesa naprawdę mnie nie interesują. Wolałbym usłyszeć co Prezes uważa odnośnie:
- zamykanych oddziałów szpitalnych #Onkologia
- #listabrakującychleków 
- coraz dłuższych kolejek do specjalistów 
- kompletnej zapaści inwestycji #PlażanaDrogach
- inflacji",['dorzeczy_pl'],[],[],1,2,13,"['#onkologia', '#listabrakującychleków', '#plażanadrogach']",[],https://twitter.com/MartinSwidersky/status/1163143534058311680,False,,0,,,,,,,"[{'user_id': '2774416530', 'username': 'MartinSwidersky'}, {'user_id': '1076576528', 'username': 'DoRzeczy_pl'}]",
1163104072121114624,1163104072121114624,1566140594000,2019-08-18,17:03:14,CEST,2774416530,martinswidersky,Martyn Swydersky,,"Panie Prezesie, pańskie obsesje odnośnie LGBT naprawdę mało kogo interesują. Może porozmawiamy o:
- problemach w służbie zdrowia i coraz dłuższych kolejkach do specjalistów 
- kwestii #listabrakującychleków 
- braku inwestycji #PlażanaDrogach 
- inflacji 
- #Stadninywruinie https://twitter.com/pisorgpl/status/1163061365948465152 …",[],['https://twitter.com/pisorgpl/status/1163061365948465152'],[],4,11,37,"['#listabrakującychleków', '#plażanadrogach', '#stadninywruinie']",[],https://twitter.com/MartinSwidersky/status/1163104072121114624,False,https://twitter.com/pisorgpl/status/1163061365948465152,0,,,,,,,"[{'user_id': '2774416530', 'username': 'MartinSwidersky'}]",
1163049190802493440,1163016233643585537,1566127510000,2019-08-18,13:25:10,CEST,940221203066904576,magdakodds,Małgorzata Lech-Krawczyk,,Co z lekami i katastrofalna sytuacja służby zdrowia? #listabrakującychleków  Co z zabijającym nas smogiem ? Co z cenami prądu będzie? Co z dramatem uczniów dzięki fatalnej reformie edukacji? To są prawdziwe problemy Polski i Polaków! #SilniRazem,"['toptvpinfo', 'mareksuski', 'premierrp']",[],[],0,3,13,"['#listabrakującychleków', '#silnirazem']",[],https://twitter.com/magdakodds/status/1163049190802493440,False,,0,,,,,,,"[{'user_id': '940221203066904576', 'username': 'magdakodds'}, {'user_id': '1080402760955244544', 'username': 'TOPTVPINFO'}, {'user_id': '82592599', 'username': 'mareksuski'}, {'user_id': '57626153', 'username': 'PremierRP'}]",
1163017139135176704,1162701678791073793,1566119868000,2019-08-18,11:17:48,CEST,2774416530,martinswidersky,Martyn Swydersky,,Szaleństwo nieudolnych rządów pazernych na kasę dyletantów i nieudaczników z PiS trzeba powstrzymać!! #AferaNBP #listabrakujacychlekow #AferaCBA #UkładRadomski #AferaDworczyka #AferaSolvere #Stadninywruinie #DłuższeKolejkidoSpecjalistów #AferaKNF #MilionydlaRydzyka #Srebrna,['kazismolinski'],[],[],0,1,1,"['#aferanbp', '#listabrakujacychlekow', '#aferacba', '#układradomski', '#aferadworczyka', '#aferasolvere', '#stadninywruinie', '#dłuższekolejkidospecjalistów', '#aferaknf', '#milionydlarydzyka', '#srebrna']",[],https://twitter.com/MartinSwidersky/status/1163017139135176704,False,,0,,,,,,,"[{'user_id': '2774416530', 'username': 'MartinSwidersky'}, {'user_id': '819102072993939456', 'username': 'KaziSmolinski'}]",
1162841697577050113,1162840027954442240,1566078039000,2019-08-17,23:40:39,CEST,820763705851998208,grzela60,Grzela. #SilniRazem #KonsTytucJa Jędrek,,Dlaczego Rzeszów na tej liście? Przecież tow. Piotrowicz zalewa całe Podkarpacie łezkami przewożonymi #KuchcińskiTravel. Tam #listabrakujacychlekow powinna być utajniona.,"['damianlebuda14', 'gladiatorvicto']",[],[],0,0,0,"['#kuchcińskitravel', '#listabrakujacychlekow']",[],https://twitter.com/grzela60/status/1162841697577050113,False,,0,,,,,,,"[{'user_id': '820763705851998208', 'username': 'grzela60'}, {'user_id': '1108625665', 'username': 'DamianLebuda14'}, {'user_id': '1222799426', 'username': 'gladiatorvicto'}]",
1162826766844682240,1162814946847186947,1566074480000,2019-08-17,22:41:20,CEST,961627666859347968,_drugie_konto,Grzela. #SilniRazem #KonsTytucJa Jędrek,,"Miał olbrzymie szczęście, że nie spędzał wakacji w Polsce. Gorszy sort teraz zrozumiał, dlaczego @AndrzejDuda woli stoki szwajcarskie i słowackie
#Listabrakującychleków.","['tvp_info', 'andrzejduda']",[],[],0,1,0,['#listabrakującychleków'],[],https://twitter.com/_drugie_konto/status/1162826766844682240,False,,0,,,,,,,"[{'user_id': '961627666859347968', 'username': '_drugie_konto'}, {'user_id': '47295451', 'username': 'tvp_info'}, {'user_id': '202086424', 'username': 'AndrzejDuda'}]",
1162755311905759232,1162657268363681792,1566057443000,2019-08-17,17:57:23,CEST,940221203066904576,magdakodds,Małgorzata Lech-Krawczyk,,Nienależnie pobrane nagrody Beaty Szydło i jej ministrów wróciły do budżetu? Nie ma na leczenie chorych na raka! Ile kosztowała Defilada wyborcza? Nie ma leków #listabrakującychleków. Jak oświadczenia majątkowe pana Dworczyka? Co z #AferaPodkarpacka #AferaKNF  ? #SilniRazem,['tvp_info'],[],[],1,0,7,"['#listabrakującychleków', '#aferapodkarpacka', '#aferaknf', '#silnirazem']",[],https://twitter.com/magdakodds/status/1162755311905759232,False,,0,,,,,,,"[{'user_id': '940221203066904576', 'username': 'magdakodds'}, {'user_id': '47295451', 'username': 'tvp_info'}]",
1162486209513435137,1162486209513435137,1565993284000,2019-08-17,00:08:04,CEST,1089992195350949889,blondrakieta,Arleta 🇵🇱🇪🇺,,#listabrakujacychlekow  https://twitter.com/KrzysztofBrejza/status/1162390545752305664 …,[],['https://twitter.com/KrzysztofBrejza/status/1162390545752305664'],[],0,2,4,['#listabrakujacychlekow'],[],https://twitter.com/BlondRakieta/status/1162486209513435137,False,https://twitter.com/KrzysztofBrejza/status/1162390545752305664,0,,,,,,,"[{'user_id': '1089992195350949889', 'username': 'BlondRakieta'}]",
1162390545752305664,1162390545752305664,1565970476000,2019-08-16,17:47:56,CEST,87795577,krzysztofbrejza,Krzysztof Brejza,,"Brakuje leków więc chciałem zweryfikować obietnicę premiera Morawieckiego z 12.2017, że: „będziemy produkować nowoczesne leki”.
Niestety premier łamie ustawę i odmawia odpowiedzi. Minął termin i cichosza🤐
#ListaBrakującychLeków  pic.twitter.com/5Eq7K53wmq",[],[],"['https://pbs.twimg.com/media/ECGkAjgXsAA2O81.jpg', 'https://pbs.twimg.com/media/ECGkAjuXUAE9x-z.jpg', 'https://pbs.twimg.com/media/ECGkAjzWkAA_G6w.jpg']",31,188,514,['#listabrakującychleków'],[],https://twitter.com/KrzysztofBrejza/status/1162390545752305664,False,,0,,,,,,,"[{'user_id': '87795577', 'username': 'KrzysztofBrejza'}]",
1162045481930952705,1162044028420087809,1565888207000,2019-08-15,18:56:47,CEST,820763705851998208,grzela60,Grzela. #SilniRazem #KonsTytucJa Jędrek,,"A Koszty? 
Jedna defilada pozwoliłaby zaoszczędzić kilka szpitali.
#listabrakującychleków",['prezydentpl'],[],[],0,0,0,['#listabrakującychleków'],[],https://twitter.com/grzela60/status/1162045481930952705,False,,0,,,,,,,"[{'user_id': '820763705851998208', 'username': 'grzela60'}, {'user_id': '43932737', 'username': 'prezydentpl'}]",
